"","uf_entrega","regiao_entrega","Vendas","threshold_min","threshold_max","threshold_media","threshold_mediano","ticket_medio","ticket_mediano","Categoria Ticket Medio","Categoria Ticket Mediano","diff"
"1","Acre","Norte",868,39,299,143.545454545455,119,357.282235023041,256.79,"Tier 1","Tier 1",2.0023717228827
"2","Alagoas","Nordeste",12678,0,599,260.29901599016,119,273.842233002051,222.68,"Tier 1","Tier 1",1.30119523531135
"3","Amapá","Norte",117,89,349,219,219,451.684358974359,317.92,"Tier 1","Tier 1",1.06248565741716
"4","Amazonas","Norte",530,0,499,141.333333333333,99,337.788773584906,186.45,"Tier 1","Tier 1",2.41200781398895
"5","Bahia","Nordeste",41585,0,599,256.906110745147,229,287.97307178069,224.84,"Tier 1","Tier 4",0.257524330920044
"6","Ceará","Nordeste",8972,0,599,367.087771793337,349,323.001168078466,261.54,"Tier 4","Tier 4",-0.0744952204055406
"7","Distrito Federal","Centro-Oeste",32887,0,499,138.540081288869,0,195.36976951379,148.48,"Tier 1","Tier 1",Inf
"8","Espírito Santo","Sudeste",21118,0,399,230.772724001439,139,262.258306657827,213.9,"Tier 1","Tier 1",0.886750407610269
"9","Goiás","Centro-Oeste",24838,0,499,171.796817625459,199,217.118411369218,166.8,"Tier 2","Tier 4",0.0910472933126521
"10","Maranhão","Nordeste",3505,0,599,325.000554016621,249,368.332519258203,305.32,"Tier 1","Tier 1",0.479247065293986
"11","Mato Grosso","Centro-Oeste",9839,0,399,215.923853524983,199,347.207005081301,267.245,"Tier 1","Tier 1",0.744758819504024
"12","Mato Grosso do Sul","Centro-Oeste",8340,0,399,180.366560170394,199,257.368037170264,203.31,"Tier 1","Tier 3",0.293306719448562
"13","Minas Gerais","Sudeste",156915,0,399,188.724116248453,139,233.209844052347,180.81,"Tier 1","Tier 1",0.677768662247104
"14","Paraná","Sul",90091,0,399,203.42851160356,119,235.215999267407,183.51,"Tier 1","Tier 1",0.976605035860566
"15","Paraíba","Nordeste",25330,0,599,206.153059936909,39,247.483381365969,197.18,"Tier 1","Tier 1",5.34572772733254
"16","Pará","Norte",4579,0,599,455.749433962264,349,400.985204193055,325.88,"Tier 1","Tier 4",0.148954739808181
"17","Pernambuco","Nordeste",45032,0,599,239.716882760513,119,240.901583096465,188.63,"Tier 1","Tier 1",1.0243830512308
"18","Piauí","Nordeste",2343,0,599,372.869019607843,349,384.131476739223,324.49,"Tier 1","Tier 4",0.100663257132445
"19","Rio Grande do Norte","Nordeste",6351,0,599,307.941373103626,299,315.637860179499,277.35,"Tier 2","Tier 4",0.0556450173227401
"20","Rio Grande do Sul","Sul",119931,0,399,211.052570261673,119,245.887486721532,190.8,"Tier 1","Tier 1",1.06628140102127
"21","Rio de Janeiro","Sudeste",277222,0,499,174.696908766849,79,230.53521821625,176.56,"Tier 1","Tier 1",1.91816731919304
"22","Rondônia","Norte",1065,0,399,142.666666666667,139,368.501511737089,273.89,"Tier 1","Tier 1",1.65109001249704
"23","Roraima","Norte",104,39,349,175.666666666667,139,396.356634615385,319.34,"Tier 1","Tier 1",1.8514865799668
"24","Santa Catarina","Sul",100392,0,399,193.773523227797,119,239.744386373823,186.47,"Tier 1","Tier 1",1.01465870902373
"25","Sergipe","Nordeste",4453,0,599,369.195433176629,349,309.574904558724,256.78,"Tier 4","Tier 4",-0.112965889516549
"26","São Paulo","Sudeste",654790,0,599,181.838192358562,99,215.289411956952,166.9,"Tier 1","Tier 1",1.17464052481769
"27","Tocantins","Norte",1010,0,199,81.625,59,360.165188118812,252.61,"Tier 1","Tier 1",5.10449471387817
"28",NA,NA,608,79,599,251.178477690289,199,297.402302631579,219.98,"Tier 1","Tier 1",0.494483932822005
